UNIT                                  EXPOSURE PREDICATE HAPPY
NetworkManager-dispatcher.service          3.5 OK        🙂
NetworkManager.service                     4.2 OK        🙂
avahi-daemon.service                       2.1 OK        🙂
bluetooth.service                          3.3 OK        🙂
cups.service                               4.8 OK        🙂
dbus-broker.service                        4.3 OK        🙂
display-manager.service                    8.6 EXPOSED   🙁
dnscrypt-proxy2.service                    3.5 OK        🙂
emergency.service                          3.4 OK        🙂
fail2ban.service                           3.3 OK        🙂
getty@tty1.service                         4.7 OK        🙂
keyd.service                               1.4 OK        🙂
nix-daemon.service                         4.9 OK        🙂
nix-optimise.service                       4.9 OK        🙂
nscd.service                               4.9 OK        🙂
polkit.service                             1.2 OK        🙂
reload-systemd-vconsole-setup.service      4.9 OK        🙂
rescue.service                             4.5 OK        🙂
rtkit-daemon.service                       3.1 OK        🙂
sshd.service                               4.9 OK        🙂
system76-scheduler.service                 9.6 UNSAFE    😨
systemd-ask-password-console.service       4.3 OK        🙂
systemd-ask-password-wall.service          4.1 OK        🙂
systemd-hostnamed.service                  1.7 OK        🙂
systemd-journald.service                   4.5 OK        🙂
systemd-logind.service                     2.8 OK        🙂
systemd-oomd.service                       1.8 OK        🙂
systemd-timesyncd.service                  2.1 OK        🙂
systemd-udevd.service                      4.9 OK        🙂
thermald.service                           9.1 UNSAFE    😨
throttled.service                          2.5 OK        🙂
upower.service                             2.4 OK        🙂
usbguard.service                           2.8 OK        🙂
user@1000.service                          5.5 MEDIUM    😐
wpa_supplicant.service                     2.7 OK        🙂
